SID,Event,Date,Status,Location,Sample,Depth,Sta,Rep,Test,Value,Flag
27873,0024_January,1/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.5,
27874,0024_January,1/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,26.1,
27875,0024_January,1/8/24,At Lab,12-15 Bog,BLIND,0,1,2,DOC,27.7,
27876,0024_January,1/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,44.1,
27923,0024_February,2/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.1,
27924,0024_February,2/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,27.1,
27925,0024_February,2/8/24,At Lab,12-15 Bog,BLIND,3,1,2,DOC,27,
27926,0024_February,2/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,37.7,
27952,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,A,0,1,1,DOC,21.6,
27953,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,B,3,1,1,DOC,25.1,
27954,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,BLIND,0,1,2,DOC,20.6,
27955,0024_spring quarterly,4/11/24,At Lab,12-15 Bog,D,7,1,1,DOC,38.6,
28049,0024_May,5/13/24,Results Entered,12-15 Bog,A,0,1,1,DOC,20.3,
28050,0024_May,5/13/24,Results Entered,12-15 Bog,B,2,1,1,DOC,27.3,
28051,0024_May,5/13/24,Results Entered,12-15 Bog,BLIND,2,1,2,DOC,27,
28052,0024_May,5/13/24,Results Entered,12-15 Bog,C,3,1,1,DOC,26.1,
28053,0024_May,5/13/24,Results Entered,12-15 Bog,D,7,1,1,DOC,42.9,
28150,0024_June,6/10/24,Results Entered,12-15 Bog,A,0,1,1,DOC,24.8,
28151,0024_June,6/10/24,Results Entered,12-15 Bog,B,2,1,1,DOC,30.5,
28152,0024_June,6/10/24,Results Entered,12-15 Bog,BLIND,3,1,2,DOC,25.3,
28153,0024_June,6/10/24,Results Entered,12-15 Bog,C,5,1,1,DOC,29.9,
28154,0024_June,6/10/24,Results Entered,12-15 Bog,D,7,1,1,DOC,44.1,
28247,0024_July_chem,7/8/24,At Lab,12-15 Bog,A,0,1,1,DOC,23.1,
28248,0024_July_chem,7/8/24,At Lab,12-15 Bog,B,3,1,1,DOC,29.3,
28249,0024_July_chem,7/8/24,At Lab,12-15 Bog,BLIND,7,1,2,DOC,39.3,
28250,0024_July_chem,7/8/24,At Lab,12-15 Bog,C,5,1,1,DOC,28.7,
28251,0024_July_chem,7/8/24,At Lab,12-15 Bog,D,7,1,1,DOC,39.2,
28352,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,A,0,1,1,DOC,29,
28353,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,B,3,1,1,DOC,31.2,
28354,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,BLIND,5,1,2,DOC,30.1,
28355,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,C,5,1,1,DOC,30.1,
28356,0024_August_quarterly,8/6/24,At Lab,12-15 Bog,D,7,1,1,DOC,44.2,
28461,0024_September,9/5/24,At Lab,12-15 Bog,A,0,1,1,DOC,27.3,
28462,0024_September,9/5/24,At Lab,12-15 Bog,B,2,1,1,DOC,34.7,
28463,0024_September,9/5/24,At Lab,12-15 Bog,BLIND,5,1,2,DOC,29.1,
28464,0024_September,9/5/24,At Lab,12-15 Bog,C,5,1,1,DOC,28.5,
28465,0024_September,9/5/24,At Lab,12-15 Bog,D,7,1,1,DOC,43.9,
28591,0024_October,9/30/24,Results Entered,12-15 Bog,A,0,1,1,DOC,28.4,
28592,0024_October,9/30/24,Results Entered,12-15 Bog,B,2,1,1,DOC,36,
28593,0024_October,9/30/24,Results Entered,12-15 Bog,BLIND,0,1,2,DOC,28.6,
28594,0024_October,9/30/24,Results Entered,12-15 Bog,C,5,1,1,DOC,28.4,
28595,0024_October,9/30/24,Results Entered,12-15 Bog,D,7,1,1,DOC,38.3,
28684,0024_lateOctober,10/29/24,At Lab,12-15 Bog,A,0,1,1,DOC,28,
28685,0024_lateOctober,10/29/24,At Lab,12-15 Bog,B,3,1,1,DOC,28.6,
28686,0024_lateOctober,10/29/24,At Lab,12-15 Bog,BLIND,7,1,2,DOC,38.3,
28687,0024_lateOctober,10/29/24,At Lab,12-15 Bog,C,5,1,1,DOC,27.7,
28688,0024_lateOctober,10/29/24,At Lab,12-15 Bog,D,7,1,1,DOC,38.2,
28757,0024_November_quarterly,11/21/24,At Lab,12-15 Bog,A,0,1,1,DOC,26.7,
28758,0024_November_quarterly,11/21/24,At Lab,12-15 Bog,B,3,1,1,DOC,26.7,
28759,0024_November_quarterly,11/21/24,At Lab,12-15 Bog,BLIND,7,1,2,DOC,40,
28760,0024_November_quarterly,11/21/24,At Lab,12-15 Bog,D,7,1,1,DOC,39.9,
28804,0025_January,1/16/25,At Lab,12-15 Bog,A,0,1,1,DOC,31.5,
28805,0025_January,1/16/25,At Lab,12-15 Bog,B,3,1,1,DOC,29.8,
28806,0025_January,1/16/25,At Lab,12-15 Bog,BLIND,3,1,2,DOC,29.2,
28807,0025_January,1/16/25,At Lab,12-15 Bog,D,7,1,1,DOC,31.2,
28832,0025_February_quarterly,2/21/25,At Lab,12-15 Bog,A,0,1,1,DOC,31.6,
28833,0025_February_quarterly,2/21/25,At Lab,12-15 Bog,B,3,1,1,DOC,29.8,
28834,0025_February_quarterly,2/21/25,At Lab,12-15 Bog,BLIND,3,1,2,DOC,29.5,
28835,0025_February_quarterly,2/21/25,At Lab,12-15 Bog,D,7,1,1,DOC,30.1,
28895,0025_March,3/14/25,At Lab,12-15 Bog,A,0,1,1,DOC,25.4,
28896,0025_March,3/14/25,At Lab,12-15 Bog,B,3,1,1,DOC,29.8,
28897,0025_March,3/14/25,At Lab,12-15 Bog,BLIND,7,1,2,DOC,33.3,
28898,0025_March,3/14/25,At Lab,12-15 Bog,D,7,1,1,DOC,31.8,
28949,0025_Spring_Quarterly,4/22/25,At Lab,12-15 Bog,A,0,1,1,DOC,21.3,
28950,0025_Spring_Quarterly,4/22/25,At Lab,12-15 Bog,B,3,1,1,DOC,31.9,
28951,0025_Spring_Quarterly,4/22/25,At Lab,12-15 Bog,BLIND,3,1,2,DOC,32.1,
28952,0025_Spring_Quarterly,4/22/25,At Lab,12-15 Bog,D,7,1,1,DOC,34.9,
29010,0025_May,5/12/25,At Lab,12-15 Bog,A,0,1,1,DOC,21.5,
29011,0025_May,5/12/25,At Lab,12-15 Bog,B,2,1,1,DOC,32.1,
29012,0025_May,5/12/25,At Lab,12-15 Bog,BLIND,7,1,2,DOC,40.4,
29013,0025_May,5/12/25,At Lab,12-15 Bog,C,5,1,1,DOC,32.8,
29014,0025_May,5/12/25,At Lab,12-15 Bog,D,7,1,1,DOC,41.2,
29121,0025_June,6/11/25,At Lab,12-15 Bog,A,0,1,1,DOC,23.4,
29122,0025_June,6/11/25,At Lab,12-15 Bog,B,2,1,1,DOC,31.2,
29123,0025_June,6/11/25,At Lab,12-15 Bog,BLIND,0,1,2,DOC,23.6,
29124,0025_June,6/11/25,At Lab,12-15 Bog,C,5,1,1,DOC,32.5,
29125,0025_June,6/11/25,At Lab,12-15 Bog,D,7,1,1,DOC,40.5,
29218,0025_July,7/8/25,At Lab,12-15 Bog,A,0,1,1,DOC,23.2,
29219,0025_July,7/8/25,At Lab,12-15 Bog,B,3,1,1,DOC,32,
29220,0025_July,7/8/25,At Lab,12-15 Bog,BLIND,3,1,2,DOC,32.1,
29221,0025_July,7/8/25,At Lab,12-15 Bog,C,5,1,1,DOC,32.3,
29222,0025_July,7/8/25,At Lab,12-15 Bog,D,7,1,1,DOC,43.1,
29315,0025_August_Quarterly,8/4/25,At Lab,12-15 Bog,A,,1,1,DOC,23.7,
29316,0025_August_Quarterly,8/4/25,At Lab,12-15 Bog,B,,1,1,DOC,31.6,
29317,0025_August_Quarterly,8/4/25,At Lab,12-15 Bog,BLIND,,1,2,DOC,23.8,
29318,0025_August_Quarterly,8/4/25,At Lab,12-15 Bog,C,,1,1,DOC,32.5,
29319,0025_August_Quarterly,8/4/25,At Lab,12-15 Bog,D,7,1,1,DOC,40,
29418,0025_September,9/4/25,At Lab,12-15 Bog,A,0,1,1,DOC,23.5,
29419,0025_September,9/4/25,At Lab,12-15 Bog,B,3,1,1,DOC,31.1,
29420,0025_September,9/4/25,At Lab,12-15 Bog,BLIND,5,1,2,DOC,32.1,
29421,0025_September,9/4/25,At Lab,12-15 Bog,C,5,1,1,DOC,32.5,
29422,0025_September,9/4/25,At Lab,12-15 Bog,D,7,1,1,DOC,48.4,
29515,0025_September_October,9/29/25,Results Entered,12-15 Bog,A,0,1,1,DOC,23.2,
29516,0025_September_October,9/29/25,Results Entered,12-15 Bog,B,3,1,1,DOC,29.8,
29517,0025_September_October,9/29/25,Results Entered,12-15 Bog,BLIND,0,1,2,DOC,23.3,
29518,0025_September_October,9/29/25,Results Entered,12-15 Bog,C,5,1,1,DOC,32.3,
29519,0025_September_October,9/29/25,Results Entered,12-15 Bog,D,7,1,1,DOC,37.6,
29612,0025_October,10/27/25,At Lab,12-15 Bog,A,0,1,1,DOC,24.6,
29613,0025_October,10/27/25,At Lab,12-15 Bog,B,3,1,1,DOC,25.1,
29614,0025_October,10/27/25,At Lab,12-15 Bog,BLIND,0,1,2,DOC,25,
29615,0025_October,10/27/25,At Lab,12-15 Bog,C,5,1,1,DOC,30.9,
29616,0025_October,10/27/25,At Lab,12-15 Bog,D,7,1,1,DOC,38.9,
29690,0025_Fall_Quarterly,11/12/25,At Lab,12-15 Bog,A,0,1,1,DOC,28.7,
29691,0025_Fall_Quarterly,11/12/25,At Lab,12-15 Bog,B,3,1,1,DOC,28.7,
29692,0025_Fall_Quarterly,11/12/25,At Lab,12-15 Bog,BLIND,7,1,2,DOC,43,
29693,0025_Fall_Quarterly,11/12/25,At Lab,12-15 Bog,D,7,1,1,DOC,43.7,
29727,2026_January,1/16/26,Results Entered,12-15 Bog,A,0,1,1,DOC,27.1,
29728,2026_January,1/16/26,Results Entered,12-15 Bog,B,3,1,1,DOC,27.2,
29729,2026_January,1/16/26,Results Entered,12-15 Bog,BLIND,0,1,2,DOC,27,
29730,2026_January,1/16/26,Results Entered,12-15 Bog,D,7,1,1,DOC,41.9,